#Energy	dxy	dyz	dz2	dxz	dx2
-16.70193	0	0	0	0	0
-16.69193	0	0	0	0	0
-16.68093	0	0	0	0	0
-16.66993	0	0	0	0	0
-16.65893	0	0	0	0	0
-16.64793	0	0	0	0	0
-16.63793	0	0	0	0	0
-16.62693	0	0	0	0	0
-16.61593	0	0	0	0	0
-16.60493	0	0	0	0	0
-16.59393	0	0	0	0	0
-16.58393	0	0	0	0	0
-16.57293	0	0	0	0	0
-16.56193	0	0	0	0	0
-16.55093	0	0	0	0	0
-16.53993	0	0	0	0	0
-16.52993	0	0	0	0	0
-16.51893	0	0	0	0	0
-16.50793	0	0	0	0	0
-16.49693	0	0	0	0	0
-16.48693	0	0	0	0	0
-16.47593	0	0	0	0	0
-16.46493	0	0	0	0	0
-16.45393	0	0	0	0	0
-16.44293	0	0	0	0	0
-16.43293	0	0	0	0	0
-16.42193	0	0	0	0	0
-16.41093	0	0	0	0	0
-16.39993	0	0	0	0	0
-16.38893	0	0	0	0	0
-16.37893	0	0	0	0	0
-16.36793	0	0	0	0	0
-16.35693	0	0	0	0	0
-16.34593	0	0	0	0	0
-16.33493	0	0	0	0	0
-16.32493	0	0	0	0	0
-16.31393	0	0	0	0	0
-16.30293	0	0	0	0	0
-16.29193	0	0	0	0	0
-16.28193	0	0	0	0	0
-16.27093	0	0	0	0	0
-16.25993	0	0	0	0	0
-16.24893	0	0	0	0	0
-16.23793	0	0	0	0	0
-16.22793	0	0	0	0	0
-16.21693	0	0	0	0	0
-16.20593	0	0	0	0	0
-16.19493	0	0	0	0	0
-16.18393	0	0	0	0	0
-16.17393	0	0	0	0	0
-16.16293	0	0	0	0	0
-16.15193	0	0	0	0	0
-16.14093	0	0	0	0	0
-16.12993	0	0	0	0	0
-16.11993	0	0	0	0	0
-16.10893	0	0	0	0	0
-16.09793	0	0	0	0	0
-16.08693	0	0	0	0	0
-16.07693	0	0	0	0	0
-16.06593	0	0	0	0	0
-16.05493	0	0	0	0	0
-16.04393	0	0	0	0	0
-16.03293	0	0	0	0	0
-16.02293	0	0	0	0	0
-16.01193	0	0	0	0	0
-16.00093	0	0	0	0	0
-15.98993	0	0	0	0	0
-15.97893	0	0	0	0	0
-15.96893	0	0	0	0	0
-15.95793	0	0	0	0	0
-15.94693	0	0	0	0	0
-15.93593	0	0	0	0	0
-15.92493	0	0	0	0	0
-15.91493	0	0	0	0	0
-15.90393	0	0	0	0	0
-15.89293	0	0	0	0	0
-15.88193	0	0	0	0	0
-15.87193	0	0	0	0	0
-15.86093	0	0	0	0	0
-15.84993	0	0	0	0	0
-15.83893	0	0	0	0	0
-15.82793	0	0	0	0	0
-15.81793	0	0	-1E-5	0	0
-15.80693	0	0	-1E-5	0	0
-15.79593	0	0	-1E-5	0	0
-15.78493	0	0	-1E-5	0	0
-15.77393	0	0	0	0	0
-15.76393	0	0	0	0	0
-15.75293	0	0	0	0	0
-15.74193	0	0	0	0	0
-15.73093	0	0	0	0	0
-15.71993	0	0	0	0	0
-15.70993	0	0	0	0	0
-15.69893	0	0	0	0	0
-15.68793	0	0	-1E-5	0	0
-15.67693	0	0	-3E-5	0	0
-15.66693	0	0	-1E-4	0	0
-15.65593	0	0	-2.5E-4	0	0
-15.64493	0	0	-6E-4	0	0
-15.63393	0	0	-0.0013	0	0
-15.62293	0	0	-0.00255	0	0
-15.61293	0	-1E-5	-0.00459	-1E-5	0
-15.60193	0	-1E-5	-0.00752	-1E-5	0
-15.59093	0	-2E-5	-0.01123	-2E-5	0
-15.57993	0	-5E-5	-0.01529	-4E-5	0
-15.56893	0	-8E-5	-0.01898	-7E-5	0
-15.55893	0	-1.1E-4	-0.02149	-1.1E-4	0
-15.54793	-1E-5	-1.6E-4	-0.02218	-1.5E-4	-1E-5
