#Energy	pz
-12.78593	0
-12.77493	0
-12.76393	0
-12.75293	0
-12.74293	0
-12.73193	0
-12.72093	0
-12.70993	0
-12.69893	0
-12.68893	0
-12.67793	0
-12.66693	0
-12.65593	0
-12.64593	0
-12.63493	0
-12.62393	0
-12.61293	0
-12.60193	0
-12.59193	0
-12.58093	-1E-5
-12.56993	-2E-5
-12.55893	-5E-5
-12.54793	-1.3E-4
-12.53793	-2.9E-4
-12.52693	-5.8E-4
-12.51593	-0.00108
-12.50493	-0.00182
-12.49393	-0.0028
-12.48393	-0.00393
-12.47293	-0.00504
-12.46193	-0.00591
-12.45093	-0.00636
-12.44093	-0.00636
-12.42993	-0.00603
-12.41893	-0.00563
-12.40793	-0.00549
-12.39693	-0.00584
-12.38693	-0.00672
-12.37593	-0.00792
-12.36493	-0.00908
-12.35393	-0.00979
-12.34293	-0.00975
-12.33293	-0.00893
-12.32193	-0.00751
-12.31093	-0.00588
-12.29993	-0.00445
-12.28893	-0.00362
-12.27893	-0.00366
-12.26793	-0.00475
-12.25693	-0.00691
-12.24593	-0.00996
-12.23593	-0.01342
-12.22493	-0.01664
-12.21393	-0.01884
-12.20293	-0.01948
-12.19193	-0.01836
-12.18193	-0.01578
-12.17093	-0.01236
-12.15993	-0.00883
-12.14893	-0.00575
-12.13793	-0.00342
-12.12793	-0.00186
-12.11693	-9.3E-4
-12.10593	-4.5E-4
-12.09493	-2.8E-4
-12.08393	-3.1E-4
-12.07393	-5.4E-4
-12.06293	-0.00101
-12.05193	-0.00177
-12.04093	-0.00282
-12.03093	-0.00412
-12.01993	-0.00549
-12.00893	-0.00667
-11.99793	-0.0074
-11.98693	-0.00753
-11.97693	-0.00705
-11.96593	-0.00616
-11.95493	-0.00514
-11.94393	-0.00426
-11.93293	-0.00368
-11.92293	-0.00341
-11.91193	-0.00333
-11.90093	-0.00326
-11.88993	-0.00308
-11.87893	-0.00272
-11.86893	-0.00222
-11.85793	-0.00166
-11.84693	-0.00114
-11.83593	-7.1E-4
-11.82593	-4E-4
-11.81493	-2.1E-4
-11.80393	-1E-4
-11.79293	-4E-5
-11.78193	-2E-5
-11.77193	-1E-5
-11.76093	0
-11.74993	0
-11.73893	0
-11.72793	0
-11.71793	0
-11.70693	0
-11.69593	0
-11.68493	0
-11.67493	0
-11.66393	0
-11.65293	0
-11.64193	0
-11.63093	0
-11.62093	0
-11.60993	0
-11.59893	0
-11.58793	0
-11.57693	0
-11.56693	0
-11.55593	0
-11.54493	0
-11.53393	0
-11.52293	0
-11.51293	0
-11.50193	0
-11.49093	0
-11.47993	0
-11.46993	0
-11.45893	0
-11.44793	0
-11.43693	0
-11.42593	-1E-5
-11.41593	-2E-5
-11.40493	-6E-5
-11.39393	-1.5E-4
-11.38293	-3.7E-4
-11.37193	-8.2E-4
-11.36193	-0.00167
-11.35093	-0.00311
-11.33993	-0.00528
-11.32893	-0.00817
-11.31793	-0.01153
-11.30793	-0.01483
-11.29693	-0.0174
-11.28593	-0.01861
-11.27493	-0.01815
-11.26493	-0.01614
-11.25393	-0.01308
-11.24293	-0.00967
-11.23193	-0.00652
-11.22093	-0.004
-11.21093	-0.00224
-11.19993	-0.00115
-11.18893	-5.4E-4
-11.17793	-2.5E-4
-11.16693	-1.5E-4
-11.15693	-1.9E-4
-11.14593	-3.6E-4
-11.13493	-7.2E-4
-11.12393	-0.00132
-11.11293	-0.00224
-11.10293	-0.00352
-11.09193	-0.00512
-11.08093	-0.00698
-11.06993	-0.00894
-11.05993	-0.01085
-11.04893	-0.01252
-11.03793	-0.01378
-11.02693	-0.01442
-11.01593	-0.01426
-11.00593	-0.01326
-10.99493	-0.01149
-10.98393	-0.00923
-10.97293	-0.00684
-10.96193	-0.00466
-10.95193	-0.00291
-10.94093	-0.00166
-10.92993	-8.7E-4
-10.91893	-4.1E-4
-10.90793	-1.8E-4
-10.89793	-7E-5
-10.88693	-3E-5
-10.87593	-1E-5
-10.86493	0
-10.85493	0
-10.84393	0
-10.83293	0
-10.82193	0
-10.81093	0
-10.80093	0
-10.78993	0
-10.77893	0
-10.76793	0
-10.75693	0
-10.74693	0
-10.73593	0
-10.72493	0
-10.71393	0
-10.70293	0
-10.69293	0
-10.68193	0
-10.67093	0
-10.65993	0
-10.64993	0
-10.63893	0
-10.62793	0
-10.61693	0
-10.60593	0
-10.59593	0
-10.58493	0
-10.57393	0
-10.56293	0
-10.55193	0
-10.54193	0
-10.53093	0
-10.51993	0
-10.50893	0
-10.49793	0
-10.48793	0
-10.47693	0
-10.46593	0
-10.45493	0
-10.44493	0
-10.43393	0
-10.42293	0
-10.41193	-1E-5
-10.40093	-2E-5
-10.39093	-5E-5
-10.37993	-1.1E-4
-10.36893	-2.4E-4
-10.35793	-4.7E-4
-10.34693	-8.5E-4
-10.33693	-0.00141
-10.32593	-0.00212
-10.31493	-0.00291
-10.30393	-0.00364
-10.29293	-0.00415
-10.28293	-0.00432
-10.27193	-0.0041
-10.26093	-0.00354
-10.24993	-0.00279
-10.23993	-0.00201
-10.22893	-0.00132
-10.21793	-7.9E-4
-10.20693	-4.4E-4
-10.19593	-2.5E-4
-10.18593	-2E-4
-10.17493	-3E-4
-10.16393	-6E-4
-10.15293	-0.0012
-10.14193	-0.00223
-10.13193	-0.00378
-10.12093	-0.00585
-10.10993	-0.00826
-10.09893	-0.01063
-10.08793	-0.01247
-10.07793	-0.01335
-10.06693	-0.01303
-10.05593	-0.01159
-10.04493	-0.00941
-10.03493	-0.00696
-10.02393	-0.0047
-10.01293	-0.00289
-10.00193	-0.00162
-9.99093	-8.3E-4
-9.98093	-3.9E-4
-9.96993	-1.7E-4
-9.95893	-6E-5
-9.94793	-2E-5
-9.93693	-1E-5
-9.92693	0
-9.91593	0
-9.90493	0
-9.89393	0
-9.88293	0
-9.87293	0
-9.86193	0
-9.85093	0
-9.83993	0
-9.82993	0
-9.81893	0
-9.80793	0
-9.79693	0
-9.78593	0
-9.77593	0
-9.76493	-1E-5
-9.75393	-4E-5
-9.74293	-1E-4
-9.73193	-2.5E-4
-9.72193	-5.6E-4
-9.71093	-0.00116
-9.69993	-0.00222
-9.68893	-0.00386
-9.67793	-0.00614
-9.66793	-0.00892
-9.65693	-0.01185
-9.64593	-0.01438
-9.63493	-0.01596
-9.62493	-0.01618
-9.61393	-0.015
-9.60293	-0.0127
-9.59193	-0.00983
-9.58093	-0.00695
-9.57093	-0.00449
-9.55993	-0.00265
-9.54893	-0.00143
-9.53793	-7E-4
-9.52693	-3.2E-4
-9.51693	-1.3E-4
-9.50593	-5E-5
-9.49493	-2E-5
-9.48393	-1E-5
-9.47293	0
-9.46293	0
-9.45193	0
-9.44093	0
-9.42993	0
-9.41993	0
-9.40893	0
-9.39793	0
-9.38693	0
-9.37593	0
-9.36593	0
-9.35493	0
-9.34393	0
-9.33293	0
-9.32193	0
-9.31193	0
-9.30093	0
-9.28993	0
-9.27893	0
-9.26793	0
-9.25793	0
-9.24693	0
-9.23593	0
-9.22493	0
-9.21493	0
-9.20393	0
-9.19293	0
-9.18193	0
-9.17093	0
-9.16093	0
-9.14993	0
-9.13893	0
-9.12793	0
-9.11693	0
-9.10693	0
-9.09593	0
-9.08493	0
-9.07393	0
-9.06293	0
-9.05293	0
-9.04193	0
-9.03093	0
-9.01993	0
-9.00993	0
-8.99893	-1E-5
-8.98793	-3E-5
-8.97693	-9E-5
-8.96593	-2.3E-4
-8.95593	-5.2E-4
